ids,y,len_prot,fold
P10384,33333333333333333333333332222222222222222222222222222222222222222222555555511111111111111111111111111115555555222222225555555111111111111111111111111155555555222222225555555511111111111111111111111111111111111111111111111111111111155555555522222255555555111111111111111111111111111111111111111111155555555552222555555555111111111111111111111111111111555555555522255555555111111111111111111111555555555222255555555111111111111111111111111555555522,446,0
P0ABU7,1111111111111111111111444444444444444444444000000000000000000000000000000000000000000000000000000000000000000000000000000000000044444444444444444444444111111111111111111111111444444444444444444444440000000000000000000000000000000000000000000000,244,0
Q55210,33333333333333333333333333333333331111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,170,0
Q5XKL5,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,378,0
Q9KDP2,3333333333333333333333111111111111111111111111111111111111114444444444444444444444400000000000000000000000000000000000000000000000004444444444444444444441111111111111111111144444444444444444400000000000000000000000000444444444444444444111444444444444444444440000000000000000000000,280,0
Q9CC87,33333333333333333333333333311111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,188,0
Q7TQM5,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,699,0
Q2YDF6,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,325,0
P10163,3333333333333333111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,310,0
Q12286,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,268,0
